"id","hotel_name","continent","country","city","address","services","eco_mark"
"54","NH Puebla Finsa","Amérique","Mexique","Puebla"," Av. Moratilla 132-1, 72110 Puebla Mexique","Wi-Fi gratuit|Parking|Centre sportif|Piscine|100%|Climatisation - Contrôle de la climatisation|Animaux|Accessibilité|Réunions|138 Chambres","False"
"55","NH Queretaro","Amérique","Mexique","Queretaro"," Av 5 de Febrero #1303, 76138 Queretaro Mexique","Wi-Fi gratuit|Parking|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Animaux|Accessibilité|Occasions spéciales|Réunions|140 Chambres","False"
"56","NH San Luis Potosí","Amérique","Mexique","San Luis Potosí"," Av. Venustiano Carranza No. 1460, 78250 San Luis Potosí Mexique","Wi-Fi gratuit|Centre sportif|100%|Animaux|Accessibilité|Navette|Occasions spéciales|Réunions|111 Chambres","False"
"57","NH Montevideo Columbia","Amérique","Uruguay","Montevideo"," Rambla Gran Bretaña, 473, 11000 Montevideo Uruguay","Wi-Fi gratuit|Parking|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Animaux|Accessibilité|Occasions spéciales|Réunions|136 Chambres","False"
"58","NH Berlin Alexanderplatz","Europe","Allemagne","Berlin"," Landsberger Allee 26, 10249 Berlin Allemagne","Wi-Fi gratuit|Parking|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Occasions spéciales|Réunions|225 Chambres","True"
"59","NH Berlin City Ost","Europe","Allemagne","Berlin"," Rathausstr. 2-3, 10367 Berlin-Lichtenberg Berlin Allemagne","Wi-Fi gratuit|Parking|Climatisation - Contrôle de la climatisation|Animaux|Occasions spéciales|Réunions|99 Chambres","False"
"60","NH Berlin Kurfürstendamm","Europe","Allemagne","Berlin"," Grolmanstr. 41-43, 10623 Berlin Allemagne","Wi-Fi gratuit|Parking|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Occasions spéciales|Réunions|167 Chambres","True"
"61","NH Berlin Potsdamer Platz","Europe","Allemagne","Berlin"," Stresemannstr. 47, 10963 Berlin Allemagne","Wi-Fi gratuit|Parking|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|89 Chambres","True"
"62","NH Collection Berlin Mitte Friedrichstrasse","Europe","Allemagne","Berlin"," Friedrichstr. 96, 10117 Berlin Allemagne","Wi-Fi gratuit|Parking|Centre sportif|Spa|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Baby-sitter|Occasions spéciales|Réunions|268 Chambres","True"
"63","NH Collection Berlin Mitte am Checkpoint Charlie","Europe","Allemagne","Berlin"," Leipziger Str. 106-111, 10117 Berlin Allemagne","Wi-Fi gratuit|Parking|Centre sportif|Spa|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|392 Chambres","True"
